2024-08-19 14:56:40, Temp: 49.6°C, Freq: 700.154304 MHz
2024-08-19 14:57:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 14:58:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 14:59:40, Temp: 50.1°C, Freq: 1800.404352 MHz
2024-08-19 15:00:40, Temp: 48.7°C, Freq: 1800.404352 MHz
2024-08-19 15:01:40, Temp: 50.1°C, Freq: 1800.404352 MHz
2024-08-19 15:02:40, Temp: 48.7°C, Freq: 1800.404352 MHz
2024-08-19 15:03:40, Temp: 48.7°C, Freq: 600.16992 MHz
2024-08-19 15:04:40, Temp: 50.1°C, Freq: 1800.404352 MHz
2024-08-19 15:05:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 15:06:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 15:07:40, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 15:08:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 15:09:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 15:10:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 15:11:40, Temp: 49.1°C, Freq: 700.20704 MHz
2024-08-19 15:12:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 15:13:40, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 15:14:40, Temp: 50.6°C, Freq: 1800.457088 MHz
2024-08-19 15:15:40, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 15:16:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 15:17:40, Temp: 50.1°C, Freq: 1800.404352 MHz
2024-08-19 15:18:40, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 15:19:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 15:20:40, Temp: 51.1°C, Freq: 700.20704 MHz
2024-08-19 15:21:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 15:22:40, Temp: 50.1°C, Freq: 1100.249984 MHz
2024-08-19 15:23:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 15:24:40, Temp: 48.7°C, Freq: 1000.2656 MHz
2024-08-19 15:25:40, Temp: 50.6°C, Freq: 1800.404352 MHz
2024-08-19 15:26:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 15:27:40, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 15:28:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 15:29:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 15:30:40, Temp: 49.6°C, Freq: 600.117184 MHz
2024-08-19 15:31:40, Temp: 48.2°C, Freq: 1000.212864 MHz
2024-08-19 15:32:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 15:33:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 15:34:40, Temp: 48.2°C, Freq: 700.20704 MHz
2024-08-19 15:35:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 15:36:40, Temp: 48.2°C, Freq: 1800.457088 MHz
2024-08-19 15:37:40, Temp: 49.1°C, Freq: 700.20704 MHz
2024-08-19 15:38:40, Temp: 48.7°C, Freq: 600.117184 MHz
2024-08-19 15:39:40, Temp: 47.2°C, Freq: 1800.457088 MHz
2024-08-19 15:40:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 15:41:40, Temp: 48.2°C, Freq: 600.117184 MHz
2024-08-19 15:42:40, Temp: 48.7°C, Freq: 1800.404352 MHz
